iter	Passed	Remaining
0	2	2376
1	5	2587
2	8	2682
3	11	2782
4	14	2816
5	17	2856
6	20	2850
7	22	2843
8	25	2834
9	29	2873
10	31	2864
11	34	2863
12	37	2855
13	40	2868
14	43	2878
15	46	2872
16	49	2862
17	52	2855
18	55	2853
19	58	2847
20	60	2843
21	63	2841
22	67	2852
23	70	2860
24	73	2857
25	76	2854
26	79	2848
27	81	2844
28	84	2837
29	87	2828
30	90	2824
31	93	2832
32	96	2830
33	99	2825
34	102	2820
35	105	2826
36	108	2823
37	111	2818
38	114	2813
39	117	2809
40	120	2812
41	123	2807
42	125	2800
43	128	2795
44	131	2798
45	134	2793
46	137	2795
47	140	2791
48	143	2789
49	146	2789
50	149	2785
51	152	2783
52	155	2777
53	158	2780
54	161	2782
55	164	2778
56	167	2776
57	171	2780
58	174	2777
59	176	2772
60	179	2767
61	182	2763
62	185	2761
63	188	2757
64	191	2751
65	194	2748
66	197	2752
67	200	2750
68	203	2747
69	206	2744
70	210	2748
71	212	2744
72	216	2743
73	219	2743
74	222	2747
75	225	2743
76	228	2741
77	231	2736
78	234	2736
79	237	2732
80	240	2727
81	242	2718
82	245	2714
83	248	2708
84	251	2705
85	254	2699
86	256	2696
87	259	2690
88	262	2685
89	265	2679
90	267	2673
91	270	2666
92	272	2661
93	275	2655
94	278	2648
95	280	2642
96	283	2636
97	286	2632
98	288	2626
99	291	2621
100	293	2614
101	296	2608
102	299	2605
103	301	2599
104	304	2593
105	307	2589
106	309	2583
107	312	2580
108	314	2574
109	317	2568
110	319	2561
111	322	2556
112	325	2552
113	327	2546
114	330	2540
115	332	2535
116	335	2530
117	338	2527
118	340	2523
119	343	2518
120	345	2512
121	348	2507
122	351	2504
123	353	2499
124	356	2493
125	358	2487
126	361	2483
127	364	2480
128	366	2477
129	369	2473
130	372	2468
131	374	2463
132	377	2460
133	380	2457
134	382	2453
135	385	2450
136	388	2447
137	391	2443
138	394	2441
139	397	2439
140	400	2437
141	402	2434
142	405	2432
143	408	2429
144	411	2427
145	415	2427
146	418	2427
147	421	2426
148	424	2421
149	427	2421
150	430	2417
151	432	2412
152	435	2408
153	437	2403
154	440	2399
155	442	2396
156	445	2391
157	447	2387
158	450	2382
159	453	2379
160	456	2376
161	458	2372
162	461	2369
163	464	2365
164	467	2363
165	469	2359
166	472	2354
167	474	2350
168	477	2346
169	479	2343
170	482	2339
171	485	2335
172	487	2331
173	490	2327
174	493	2324
175	495	2320
176	498	2316
177	500	2312
178	503	2308
179	506	2305
180	508	2301
181	511	2297
182	513	2293
183	516	2288
184	518	2286
185	521	2282
186	524	2278
187	526	2274
188	529	2270
189	531	2267
190	534	2263
191	536	2259
192	539	2255
193	541	2251
194	544	2247
195	547	2243
196	549	2240
197	552	2236
198	554	2232
199	557	2228
200	559	2225
201	562	2221
202	564	2217
203	567	2213
204	569	2210
205	573	2209
206	576	2206
207	578	2203
208	581	2199
209	583	2196
210	586	2192
211	589	2189
212	591	2185
213	594	2182
214	597	2181
215	600	2178
216	602	2174
217	605	2170
218	608	2168
219	610	2165
220	613	2163
221	617	2163
222	620	2160
223	623	2159
224	626	2156
225	628	2153
226	631	2151
227	634	2148
228	637	2145
229	639	2142
230	642	2138
231	644	2135
232	647	2132
233	650	2129
234	652	2125
235	655	2122
236	658	2118
237	660	2115
238	663	2112
239	666	2109
240	668	2106
241	671	2104
242	674	2102
243	677	2098
244	679	2095
245	682	2091
246	684	2087
247	687	2085
248	690	2082
249	693	2079
250	695	2075
251	698	2072
252	700	2069
253	703	2065
254	706	2062
255	708	2059
256	711	2055
257	713	2053
258	716	2049
259	718	2046
260	721	2042
261	724	2039
262	726	2037
263	729	2033
264	731	2030
265	734	2026
266	737	2023
267	739	2020
268	742	2017
269	744	2014
270	747	2010
271	749	2007
272	752	2004
273	755	2001
274	757	1997
275	760	1994
276	762	1991
277	765	1988
278	768	1985
279	771	1983
280	773	1979
281	776	1977
282	779	1974
283	781	1970
284	784	1967
285	786	1964
286	789	1961
287	792	1958
288	794	1955
289	797	1952
290	800	1949
291	803	1947
292	805	1944
293	808	1940
294	810	1937
295	813	1934
296	817	1934
297	819	1931
298	822	1928
299	825	1925
300	827	1922
301	830	1920
302	833	1917
303	836	1914
304	838	1911
305	841	1908
306	844	1905
307	846	1902
308	849	1899
309	851	1896
310	854	1893
311	857	1890
312	859	1887
313	862	1883
314	864	1880
315	867	1877
316	870	1874
317	872	1871
318	875	1868
319	877	1865
320	880	1862
321	883	1859
322	885	1857
323	888	1853
324	891	1850
325	894	1848
326	896	1845
327	899	1842
328	901	1839
329	904	1835
330	907	1833
331	909	1830
332	912	1827
333	914	1824
334	917	1821
335	923	1824
336	925	1820
337	928	1818
338	930	1815
339	933	1812
340	936	1809
341	938	1806
342	941	1802
343	943	1799
344	946	1797
345	949	1793
346	951	1790
347	954	1788
348	957	1785
349	960	1783
350	963	1780
351	965	1777
352	968	1774
353	970	1771
354	973	1768
355	976	1765
356	978	1762
357	981	1759
358	984	1757
359	986	1754
360	989	1751
361	991	1747
362	994	1744
363	996	1741
364	999	1739
365	1002	1736
366	1005	1733
367	1007	1730
368	1010	1727
369	1012	1724
370	1015	1721
371	1018	1718
372	1027	1726
373	1029	1723
374	1032	1720
375	1035	1718
376	1038	1715
377	1040	1712
378	1043	1709
379	1045	1706
380	1048	1703
381	1051	1700
382	1053	1697
383	1056	1694
384	1058	1691
385	1061	1689
386	1064	1686
387	1067	1683
388	1069	1680
389	1072	1677
390	1075	1674
391	1077	1671
392	1080	1668
393	1082	1665
394	1085	1662
395	1088	1659
396	1090	1656
397	1093	1653
398	1095	1650
399	1098	1647
400	1100	1644
401	1103	1641
402	1106	1639
403	1109	1636
404	1111	1633
405	1114	1630
406	1117	1627
407	1119	1624
408	1122	1621
409	1124	1618
410	1127	1615
411	1130	1612
412	1132	1609
413	1135	1606
414	1137	1603
415	1140	1601
416	1143	1598
417	1145	1595
418	1148	1592
419	1150	1589
420	1153	1586
421	1156	1583
422	1158	1580
423	1161	1577
424	1163	1574
425	1166	1572
426	1169	1569
427	1171	1566
428	1174	1563
